content,content_cleaned,label,predicted_label
"I am going to keep this short.This ""adaption"" of the wonderful King book is a bad joke and nothing more.Of course there are many Kubrick and Nickolson fans in this site and,as a result,this movie has mysteriously find its way in the top-250.<br /><br />Jack Nicholson is laughable as Torrance and so is Shelley Duvall.The story,that has nothing to do with the book,is an incoherent mess and the characters of Jack and Wendy Torrance are complete jokes.<br /><br />My advice to anyone that hasn't read the book and wants to understand the characters of this story:stick to the TV series ....<br /><br />Oh ,and the people who are saying that Kubrick had every right to destroy the King story cause King is...not a good writer should stick to reviewing ""masterpieces"" like ""eyes wide shut"".",go short adaption wonderful King book bad joke course Kubrick Nickolson fan site result movie mysteriously find way top-250.<br /><br />Jack Nicholson laughable Torrance Shelley Duvall story book incoherent mess character Jack Wendy Torrance complete jokes.<br /><br />my advice read book want understand character story stick tv series < br /><br />Oh people say Kubrick right destroy King story cause King good writer stick review masterpiece like eye wide shut,negative,positive
"this film was a major letdown. the level of relentless cruelty and violence in this film was very disturbing. some scenes were truly unnecessarily ugly and mean-spirited. the main characters were impossible to identify with or even sympathize with. the lead protagonist's character was as slimy as they come. the sickroom/hothouse atmosphere lent itself to over-the-top theatrics. little or nothing could be learned about the Spanish civil war from this film. fortunately, i've been to spain and realize this is not realistic! in addition, the use of same-sex attraction as a lurid ""horror"" was also very offensive and poorly handled, while the DVD is being packaged and advertised to attract gay viewers. the actors seemed uncomfortable in their roles,as if they were trying to distance themselves from this mess.i guess if you like watching children and pets being brutally killed,this film might especially appeal to you.",film major letdown level relentless cruelty violence film disturbing scene truly unnecessarily ugly mean spirited main character impossible identify sympathize lead protagonist character slimy come sickroom hothouse atmosphere lend theatric little learn spanish civil war film fortunately spain realize realistic addition use sex attraction lurid horror offensive poorly handle dvd package advertise attract gay viewer actor uncomfortable role try distance mess.i guess like watch child pet brutally kill film especially appeal,negative,positive
"Oh man is this movie bad. It flows horribly. The story is about a race car driver who is in love with himself, and then has to promote a chicken fast food chain and while doing this, doesn't love himself. He tries getting out of the contract and horrible, painfully unfunny gags ensue. Jim Nabors seems as if he's sleepwalking, not acting. You'll miss such Burt sidekicks as Dom Deluise and Jerry Reed while watching this stinker. Loni Anderson's hair is downright scary, proving that tons of hairspray didn't go out in the sixties. Or maybe that was a wig. Speaking of, Burt's wig wasn't bad in this film. His worst ""wig day"" was in ""Smokey and the Bandit 2"". Anyhow, this movie is the worst Reynolds car movie, ever, ever, right up there with ""Cannonball Run 2"". The original ""Smokey"" and ""Cannonball"" (and ""Hooper"" which, thankfully, had no sequel) are great, funny films. This one isn't. Even Ned Beatty, who is a great actor, stinks. You'll long for a Jackie Gleason type villain who is fun to hate. And mind you, this isn't one of those fun movies to bag on. It's lousy, pure and simple. Even the outtakes at the end were tiresome and boring, and worst of all, unfunny. And least I forget, ""Stroker Ace"" was one of the first heavy nails to seal Burt's coffin before his somewhat-revival years later in ""Boogie Nights"", another film that, like ""Deliverance"" years earlier, shows that the man can act quite good when he has a decent platform to do so.",oh man movie bad flow horribly story race car driver love promote chicken fast food chain love try get contract horrible painfully unfunny gag ensue Jim Nabors sleepwalk act miss Burt sidekick Dom Deluise Jerry Reed watch stinker Loni Anderson hair downright scary prove ton hairspray sixty maybe wig speak Burt wig bad film bad wig day Smokey Bandit 2 movie bad Reynolds car movie right Cannonball Run 2 original Smokey Cannonball Hooper thankfully sequel great funny film Ned Beatty great actor stink long Jackie Gleason type villain fun hate mind fun movie bag lousy pure simple outtake end tiresome boring bad unfunny forget Stroker Ace heavy nail seal Burt coffin somewhat revival year later Boogie Nights film like deliverance year early show man act good decent platform,negative,positive
"Why is this show so popular? It's beyond me why people like it. I think it's one of the worst sitcoms out there. <br /><br />Because it's so popular, I've tried more than once to watch it and I can't make it through an entire episode.<br /><br />For one thing, the acting is horrible. Everybody is overacting to the point where it's annoying to watch. They talk in unnatural voices, use unnatural tones, and have unnatural body language. I've seen better acting in a kindergarten school play.<br /><br />For another thing, it's NOT FUNNY. The plots are dull. They're not creative, intelligent, or FUNNY. Shouldn't a sitcom be funny?? Why am I not laughing?<br /><br />Lastly, what is seventies about this? It's about as authentic to the seventies as ""Happy Days"" was to the fifties.<br /><br />OH and what is up with Ashton Kutcher? Who cast this untalented dweeb? And now he's making movies?? Oh, save us all!<br /><br />If people think this is quality television, it worries me.",popular people like think bad sitcom < br /><br />Because popular try watch entire episode.<br /><br />for thing acting horrible everybody overact point annoying watch talk unnatural voice use unnatural tone unnatural body language see well act kindergarten school play.<br /><br />for thing FUNNY plot dull creative intelligent FUNNY sitcom funny laughing?<br /><br />lastly seventy authentic seventy Happy day fifties.<br /><br />oh Ashton Kutcher cast untalented dweeb make movie oh save all!<br /><br />if people think quality television worry,negative,positive
"As a great admirer of Marlene Dietrich, I had to (finally) watch this very, very dull picture. It is Miss Dietrich's first color film, and the world's most beautiful blond is a redhead! Bad start. The story is a tremendous bore, involving a subject which itself bores bores me stiff: religious guilt. (Who needs it???) Suffice it to say, perhaps, that of all Dietrich's films (and I have seen most, including ""Pittsburgh"") this is the only one where even her performance is barely worth watching. The color photography is OK (this is a very early Technicolor release), but to no purpose. Ridiculous casting: C. Aubrey Smith, Basil Rathbone (enough said?). The only thing of any interest at all is John Carradine's outlandish caricature of a performance as ""The Sand Diviner,"" who foretells all that will happen. The supposed ""happy ending"" is one of the most depressing ever conceived. Yet another example of David O. Selznick's highly inflated reputation (did he ever make a really good film? -- other than That One?) And, for one final annoyance, the soundtrack of the MGM DVD is a mess, with volume levels seemingly randomized. Highly unrecommended.",great admirer Marlene Dietrich finally watch dull picture Miss Dietrich color film world beautiful blond redhead bad start story tremendous bore involve subject bore bore stiff religious guilt need suffice Dietrich film see include Pittsburgh performance barely worth watch color photography ok early Technicolor release purpose ridiculous casting C. Aubrey Smith Basil Rathbone say thing interest John Carradine outlandish caricature performance Sand Diviner foretell happen supposed happy ending depressing conceive example David O. Selznick highly inflated reputation good film final annoyance soundtrack MGM dvd mess volume level seemingly randomize highly unrecommended,negative,positive
"Lets enter the world of this movie for a second, so you can better understand the type of movie we are dealing with here.<br /><br />Edison is one of those really stupid movies where the bad guy and his goons have been letting loose 50,000 bullets shooting at the good guy behind walls and pillars, shouting at them, and then finally get to the good guy face to face and instead of killing him......instead of wasting this guy that has caused you SO MUCH grief....instead of just walking up and POP!.....What do you do? The bad guy.....he talks to him. He grabs the good guy and talks to him while holding his gun. THEY HAVE NOTHING TO TALK ABOUT! SHOOT HIM! SHOOT HIM NOW! But he talks to him anyway. Oh another thing. At the end, a newspaper says ""PULITZER PRIZE WINNER STORY RIGHT HERE"" or something right above on a front page of a paper, when its like the first time the story is printed. So how in the heezy did someone win a Pulitzer for it that fast? Yea, you know those types of stupid movies? Yea well that's Edison in a nutshell.<br /><br />You get Mr cool Morgan Freeman and shifty eyed tough Kevin Spacey who both phone in their roles completely, LL Cool J who scowls literally every single moment of the movie,while proposing to his girlfriend in a damn night club of all places,and who's last line ""Duck"" was something from like a lethal weapon movie that was never made... and Justin Timberlake whining and spewing nonsense every time he talks, little cocky bastard.The only bright spot was a crazy Dylan McDermott doing his best ""Denzel from Training Day"" impression, which was pretty entertaining.<br /><br />Oh yea so whats the movie about? Eh, something about scandals involving the city Edison's fictional special unit police force called ""F.R.A.T. (I swear I'm not making this stuff up) which was supposed to be a obvious play off of S.W.A.T. Anyway little journalistic super singer boy Justin Timberflake smells something foul afoot after a murder involving 2 undercover cops from FRAT, and he goes scurrying off looking for a story, gaining his boss' (Freeman) trust along the way while they both unravel something even bigger and sinister than what they both thought. blah blah blah. Its like a bootleg pelican brief meets a halfassed training day.The pacing was slow and off, the script was horrible, and the acting was extremely uninspired. It jumped everywhere without going anywhere. People get put in comas and you forget about them. Everyone in this movie just didn't THINK. Damn what a stupid movie. Its becoming harder to write any sort of review for it because the movie left my brain the second it ended...No lie Basically, do NOT waste your time!","Lets enter world movie second well understand type movie deal here.<br /><br />Edison stupid movie bad guy goon let loose 50,000 bullet shoot good guy wall pillar shout finally good guy face face instead kill instead waste guy cause grief instead walk pop! bad guy talk grab good guy talk hold gun TALK SHOOT SHOOT talk oh thing end newspaper say PULITZER PRIZE WINNER story right right page paper like time story print heezy win Pulitzer fast yea know type stupid movie yea Edison nutshell.<br /><br />you Mr cool Morgan Freeman shifty eyed tough Kevin Spacey phone role completely LL Cool J scowl literally single moment movie propose girlfriend damn night club place line duck like lethal weapon movie Justin Timberlake whine spew nonsense time talk little cocky bastard bright spot crazy Dylan McDermott good Denzel Training Day impression pretty entertaining.<br /><br />oh yea s movie eh scandal involve city Edison fictional special unit police force call F.R.A.T. swear make stuff suppose obvious play S.W.A.T. little journalistic super singer boy Justin Timberflake smell foul afoot murder involve 2 undercover cop FRAT go scurry look story gain boss Freeman trust way unravel big sinister think blah blah blah like bootleg pelican brief meet halfasse training day pacing slow script horrible acting extremely uninspired jump go People coma forget movie think damn stupid movie hard write sort review movie leave brain second end lie basically waste time",negative,positive
"I've seen my fair share of badly thought-out endings and final twists to films, but I don't recall any film that committed outright suicide like this one did.<br /><br />The film makers were clearly hoping that the great twist would 'surprise' us all.... and it did, but perhaps not in the way the directors had hoped. I was left feeling surprised that Connery, Harris, Fishburn and Capshaw had anything to do with this turkey, individually or collectively.<br /><br />The film up until the final thirty minutes was rather engaging and I like the way the story was unfolding and the nature of the film overall. But once the twist was revealed, the plot holes and inconsistencies were remarkable, the underlying motive for revenge was ill-conceived and the ways things so neatly worked out for Bobby Earl was ridiculously far-fetched. What's worse is that, once the twist was revealed, the remainder of the film became excruciatingly predictable.<br /><br />Harris gave a terrific performance and Connery is like Morgan Freeman in that he never gives a bad performance, even if the movie ain't that great! So all in all, it starts well and the unfolding keeps the viewer interested. The last 30 minutes is one of the most memorable nose dives in the history of cinema.",see fair share badly think ending final twist film recall film commit outright suicide like did.<br /><br />The film maker clearly hop great twist surprise way director hop leave feel surprised Connery Harris Fishburn Capshaw turkey individually collectively.<br /><br />the film final thirty minute engaging like way story unfold nature film overall twist reveal plot hole inconsistency remarkable underlie motive revenge ill conceive way thing neatly work Bobby Earl ridiculously far fetched bad twist reveal remainder film excruciatingly predictable.<br /><br />Harris give terrific performance Connery like Morgan Freeman give bad performance movie be great start unfolding keep viewer interested 30 minute memorable nose dive history cinema,negative,positive
"This show is awful. How is George wanting the death of his mother funny? This show is terrible. The parents are obviously horrible and the children should be taken to child services. The daughter is a witch with a b and the son is just a complete brat. George isn't funny, especially when he speaks his loud and obnoxious brand of Spanglish. Ernie is a loser, but at least I've chuckled at him a few times, but mainly at how pathetic he is. George's mother, Benny, in an awful, despicable character. Sure, her husband left her, but how anyone can laugh at the way she treated George as a baby is beyond me.<br /><br />Can someone explain to me how George's head being big is funny? It's not even that big! I've moved on from characters because they're too awful and it would take hours for me to write and I, frankly, don't care enough. I do care enough to tell anyone looking at this and wondering whether or not they want to watch this show, that this show is an abysmal excuse for a sitcom, and is not worth your time.<br /><br />I give it 2 starts, because the wife is extremely attractive.",awful George want death mother funny terrible parent obviously horrible child take child service daughter witch b son complete brat George funny especially speak loud obnoxious brand Spanglish Ernie loser chuckle time mainly pathetic George mother Benny awful despicable character sure husband leave laugh way treat George baby me.<br /><br />can explain George head big funny big move character awful hour write frankly care care tell look wonder want watch abysmal excuse sitcom worth time.<br /><br />I 2 start wife extremely attractive,negative,positive
"i saw this film by accident and this movie was an accident...well it must of been. blonde women being stalked,the villain appearing then disappearing getting from one place to another in minute's then disappearing and reappearing,hiding.he was'nt even a super hero so i don't know how he did it.he could'nt frighten a cat and that's not hard to do.<br /><br />the old ""mirror in the bathroom""is just not scary anymore in fact it stopped being scary years ago. you had the cop on the trail of the villain,another cliché(played by idris elba with a very convincing American accent,he's from London) the director did'nt have a clue and has made a film full of cliché's and make's ""scary move""which was a COMEDY look scary. pathetic!","see film accident movie accident blonde woman stalk villain appearing disappear get place minute disappear reappearing hiding.he was'nt super hero know it.he could'nt frighten cat hard do.<br /><br />the old mirror bathroom""is scary anymore fact stop scary year ago cop trail villain cliché(playe idris elba convincing american accent London director did'nt clue film cliché scary move""which comedy look scary pathetic",negative,positive
"With Adam Sandler.<br /><br />This is without a doubt one of the most idiotic films ever made. It's about cruise ship waiter Shecky (Sandler) wanting to be a comedian on the cruise ship. First off, there is not one funny or clever line in the entire movie honestly. It is so unfunny it's pathetic. There is surprisingly not much crude or sexual humor, but the f-word is plentiful. The budget is really low, and that also ruins the film. It takes place on a cruise ship, but it seems they only had money to rent out a small boat and only had money for 10 ship extras, one of which is Billy Bob Thornton. The opening credits are animated reeeeeaally cheaply, and it is just pathetic. I hate this movie and everyone else that sees this will hate it too.<br /><br />86 mins. rated R for Language.",Adam Sandler.<br /><br />This doubt idiotic film cruise ship waiter Shecky Sandler want comedian cruise ship funny clever line entire movie honestly unfunny pathetic surprisingly crude sexual humor f word plentiful budget low ruin film take place cruise ship money rent small boat money 10 ship extras Billy Bob Thornton opening credit animate reeeeeaally cheaply pathetic hate movie see hate too.<br /><br />86 mins rat R Language,negative,positive
"Yet another example of the complete waste of UK Lottery money. Just how commercial did this film prove. The Film Council ,who funded this miserable garbage should be stranded, on one of the London Undergrounds disused stations, for allowing this clichéd, dismal specimen to be committed to film, a half mutant thing made up of all the horror movies the director has seen and felt fit to imitate, most notably Deathline. Amongst its many sins is the quite obvious failure to make the lead character remotely sympathetic until the last minute. It's a little bit too late then! Surely all those development executives, at the UK Film Council, could have noticed this at the script stage. Add to this the terrible acting and the laughable appearance of the creature and you get a prime example of how not to scare.",example complete waste UK Lottery money commercial film prove Film Council fund miserable garbage strand London Undergrounds disuse station allow clichéd dismal speciman commit film half mutant thing horror movie director see feel fit imitate notably Deathline sin obvious failure lead character remotely sympathetic minute little bit late surely development executive UK Film Council notice script stage add terrible acting laughable appearance creature prime example scare,negative,positive
